Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.751431,2.661936,0.691234,0.700389,1.032273,1.274891,1.139849,1.293202,1.524376,0.743877,1.011673,1.13756,1.089494,1.144427,1.09865,1.332113,0.714122,1.565576,0.7187,1.384756,1.661707,1.361868,1.451133,1.739528,0.819409,0.821698,0.83772,0.840009,6.518654,6.809339,7.077134,6.864271,0.862898,0.846876,0.865187,0.796521,7.273976,7.457084,6.971847,7.241932,6.063172,5.916686,5.593957,6.070039,3.360037,3.460746,3.398947,3.517967
2,4.390021,3.15404,0.688945,0.693523,1.169604,1.419089,1.279469,1.448844,1.712062,0.791943,1.162737,1.309224,1.272602,1.327535,1.270314,1.544976,0.704967,1.837949,0.714122,1.611353,1.913481,1.613642,1.718929,2.01648,0.819409,0.819409,0.83772,0.840009,6.495766,6.802472,7.072557,6.852827,0.862898,0.844587,0.867475,0.796521,7.294575,7.466239,6.987869,7.262531,6.06775,5.918975,5.580224,6.054017,3.316548,3.414969,3.35317,3.469902
3,4.902724,3.529412,0.684367,0.691234,1.327535,1.588464,1.444266,1.627375,1.927214,0.869764,1.327535,1.503777,1.467155,1.531243,1.464866,1.77615,0.700389,2.144656,0.709545,1.860838,2.192721,1.879149,2.01648,2.346075,0.821698,0.819409,0.840009,0.840009,6.468299,6.795605,7.070268,6.848249,0.865187,0.842298,0.867475,0.79881,7.301442,7.473106,6.990158,7.269398,6.063172,5.921263,5.564202,6.051728,3.266194,3.362325,3.305104,3.417258
4,5.330739,3.875029,0.679789,0.686656,1.501488,1.769284,1.622797,1.81735,2.158389,0.984207,1.519799,1.723507,1.686885,1.760128,1.682307,2.032502,0.695811,2.481117,0.704967,2.140078,2.49485,2.174411,2.348363,2.698558,0.819409,0.817121,0.840009,0.842298,6.4477,6.788739,7.063401,6.839094,0.862898,0.844587,0.867475,0.796521,7.308309,7.477684,6.994736,7.271687,6.065461,5.918975,5.557336,6.04715,3.215839,3.307393,3.250172,3.362325
5,5.701534,4.252689,0.675212,0.684367,1.700618,1.95697,1.826505,2.021057,2.410163,1.15816,1.746395,1.972992,1.938659,2.030213,1.922637,2.31632,0.693523,2.845045,0.702678,2.446784,2.817578,2.51545,2.700847,3.076219,0.817121,0.817121,0.840009,0.83772,6.431678,6.784161,7.061112,6.836805,0.862898,0.844587,0.867475,0.796521,7.312886,7.482261,7.001602,7.280842,6.063172,5.916686,5.550469,6.04715,3.163195,3.252461,3.19295,3.307393
6,6.031128,4.687572,0.677501,0.679789,1.929503,2.146944,2.048524,2.233921,2.664225,1.389334,2.01648,2.259098,2.213321,2.336919,2.181277,2.629892,0.691234,3.229572,0.6981,2.780957,3.142596,2.902266,3.07393,3.447013,0.817121,0.817121,0.83772,0.840009,6.417945,6.779583,7.063401,6.839094,0.865187,0.842298,0.867475,0.796521,7.322042,7.491417,7.008469,7.283131,6.063172,5.918975,5.54818,6.04715,3.11284,3.199817,3.138018,3.250172
7,6.317235,5.154498,0.675212,0.682078,2.169833,2.346075,2.277409,2.444495,2.920577,1.652552,2.318608,2.556649,2.510872,2.657359,2.446784,2.957198,0.688945,3.623255,0.6981,3.124285,3.449302,3.311971,3.456168,3.820096,0.819409,0.817121,0.83772,0.840009,6.411078,6.777295,7.058824,6.836805,0.865187,0.844587,0.867475,0.796521,7.328908,7.495995,7.015335,7.287709,6.060883,5.916686,5.545892,6.04715,3.062486,3.144884,3.085374,3.19295
8,6.594186,5.632868,0.677501,0.677501,2.419318,2.558938,2.520027,2.648203,3.181506,1.927214,2.627604,2.861067,2.81529,2.989242,2.728313,3.284504,0.688945,4.000916,0.695811,3.465324,3.742275,3.753719,3.845274,4.181735,0.821698,0.817121,0.840009,0.840009,6.404211,6.777295,7.058824,6.834516,0.865187,0.844587,0.865187,0.796521,7.333486,7.500572,7.022202,7.292287,6.058595,5.916686,5.543603,6.044862,3.007553,3.087663,3.030442,3.138018
9,6.841382,6.072328,0.675212,0.677501,2.668803,2.77409,2.760357,2.851911,3.442435,2.208743,2.927443,3.142596,3.087663,3.298238,2.975509,3.5935,0.688945,4.344244,0.693523,3.799496,4.021515,4.138247,4.202335,4.502174,0.819409,0.817121,0.835431,0.83772,6.385901,6.775006,7.056535,6.834516,0.862898,0.842298,0.867475,0.79881,7.340352,7.507439,7.02678,7.292287,6.058595,5.916686,5.543603,6.044862,2.957198,3.032731,2.975509,3.080797
10,7.06569,6.429389,0.675212,0.677501,2.915999,2.996109,2.996109,3.051041,3.698787,2.506294,3.21355,3.421836,3.355459,3.609522,3.21355,3.884184,0.691234,4.67155,0.693523,4.117647,4.271,4.488441,4.525063,4.802014,0.819409,0.817121,0.840009,0.840009,6.376745,6.775006,7.058824,6.834516,0.862898,0.842298,0.867475,0.796521,7.34493,7.512016,7.035935,7.299153,6.058595,5.916686,5.541314,6.040284,2.904555,2.980087,2.925154,3.025864
