Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.909361,3.774319,3.875029,2.584115,0.85832,0.862898,0.860609,0.828565,0.979629,0.961318,0.823987,0.821698,1.100938,1.009384,0.913252,0.915541,1.302358,1.345846,1.240558,1.224537,1.174182,1.345846,1.165026,0.954452,0.780499,0.782788,0.780499,0.762188,6.781872,6.54612,6.619364,6.466011,0.814832,0.780499,0.810254,0.785077,7.635615,7.756924,7.608148,7.617304,9.691005,9.807736,9.636072,9.663539,9.224079,9.48043,9.491875,9.356832
2,4.476997,4.364843,4.460975,3.080797,0.881209,0.888075,0.883497,0.849165,1.013962,0.99794,0.856031,0.851453,1.146715,1.05745,0.961318,0.956741,1.355001,1.407645,1.300069,1.274891,1.245136,1.409934,1.233692,1.013962,0.77821,0.780499,0.780499,0.762188,6.768139,6.509499,6.607919,6.440833,0.814832,0.782788,0.810254,0.785077,7.615015,7.729458,7.580682,7.594415,9.654383,9.773404,9.608606,9.638361,9.192035,9.436942,9.443809,9.317922
3,4.975967,4.879835,4.943923,3.460746,0.904097,0.913252,0.910964,0.869764,1.052873,1.041428,0.894942,0.890364,1.199359,1.110094,1.020829,1.007095,1.423667,1.483177,1.368734,1.338979,1.327535,1.492332,1.313802,1.082628,0.77821,0.780499,0.780499,0.762188,6.763561,6.504921,6.603342,6.436255,0.814832,0.782788,0.810254,0.785077,7.58526,7.692836,7.548638,7.566949,9.615473,9.729915,9.562829,9.594873,9.139391,9.372854,9.379721,9.2607
4,5.420005,5.312428,5.34905,3.769741,0.929274,0.943008,0.940719,0.892653,1.100938,1.089494,0.936141,0.929274,1.272602,1.176471,1.091783,1.066606,1.512932,1.574731,1.451133,1.425956,1.423667,1.593042,1.409934,1.165026,0.780499,0.780499,0.782788,0.762188,6.763561,6.509499,6.603342,6.436255,0.812543,0.780499,0.810254,0.785077,7.553216,7.656214,7.509728,7.530327,9.569696,9.684138,9.519341,9.553674,9.084459,9.311055,9.320211,9.20119
5,5.793088,5.658045,5.683223,4.048981,0.961318,0.975051,0.972763,0.922408,1.153582,1.142138,0.984207,0.97734,1.352712,1.247425,1.167315,1.132982,1.611353,1.668574,1.538109,1.519799,1.540398,1.693751,1.515221,1.254292,0.780499,0.780499,0.782788,0.764477,6.770428,6.511788,6.605631,6.440833,0.814832,0.782788,0.810254,0.785077,7.514305,7.612726,7.470817,7.493706,9.519341,9.631495,9.464408,9.50103,9.015793,9.24239,9.249256,9.137102
6,6.072328,5.916686,5.930419,4.33051,0.993362,1.004807,1.007095,0.952163,1.203937,1.192493,1.036851,1.025406,1.430533,1.320668,1.252003,1.203937,1.709773,1.762417,1.618219,1.613642,1.663996,1.787594,1.61593,1.350423,0.780499,0.782788,0.780499,0.762188,6.781872,6.511788,6.605631,6.4477,0.814832,0.782788,0.810254,0.782788,7.470817,7.566949,7.42504,7.447929,9.464408,9.574273,9.409476,9.448386,8.949416,9.171435,9.178302,9.063859
7,6.294347,6.124971,6.12726,4.614328,1.023117,1.034562,1.043717,0.981918,1.25658,1.242847,1.094072,1.071183,1.508354,1.391623,1.338979,1.284047,1.803616,1.851682,1.702907,1.698329,1.783017,1.890593,1.707485,1.451133,0.780499,0.782788,0.782788,0.762188,6.791028,6.514076,6.607919,6.452277,0.812543,0.782788,0.810254,0.782788,7.42504,7.518883,7.376974,7.402152,9.407187,9.512474,9.349966,9.388876,8.876173,9.095903,9.100481,8.990616
8,6.475166,6.321813,6.317235,4.879835,1.052873,1.062028,1.075761,1.009384,1.311513,1.293202,1.151293,1.119249,1.595331,1.462577,1.432822,1.368734,1.897459,1.945525,1.787594,1.785306,1.908904,1.998169,1.812772,1.563287,0.782788,0.782788,0.782788,0.764477,6.793317,6.514076,6.607919,6.454566,0.814832,0.782788,0.810254,0.785077,7.376974,7.473106,7.324331,7.356374,9.345388,9.452964,9.288167,9.329366,8.80293,9.018082,9.024949,8.912795
9,6.62623,6.48661,6.472877,5.156786,1.080339,1.09865,1.110094,1.034562,1.366445,1.348135,1.208515,1.174182,1.684596,1.531243,1.524376,1.455711,1.989014,2.034791,1.872282,1.872282,2.037079,2.101167,1.918059,1.686885,0.780499,0.782788,0.782788,0.764477,6.793317,6.516365,6.610208,6.461433,0.812543,0.780499,0.810254,0.785077,7.326619,7.422751,7.276265,7.301442,9.279011,9.38201,9.22179,9.262989,8.729686,8.940261,8.94255,8.832685
10,6.779583,6.614786,6.575875,5.397116,1.114672,1.135271,1.144427,1.064317,1.423667,1.407645,1.268025,1.233692,1.771572,1.613642,1.611353,1.544976,2.098878,2.126345,1.961547,1.984436,2.167544,2.208743,2.037079,1.803616,0.780499,0.782788,0.782788,0.762188,6.795605,6.516365,6.612497,6.461433,0.814832,0.782788,0.810254,0.785077,7.276265,7.367819,7.223621,7.253376,9.217212,9.317922,9.153124,9.198901,8.649577,8.857862,8.86244,8.754864
11,6.882582,6.715496,6.637675,5.575647,1.151293,1.174182,1.178759,1.091783,1.487755,1.471733,1.327535,1.290913,1.863127,1.707485,1.693751,1.631952,2.220188,2.233921,2.064546,2.103456,2.288853,2.332341,2.160678,1.922637,0.782788,0.782788,0.782788,0.764477,6.795605,6.516365,6.612497,6.463722,0.814832,0.780499,0.810254,0.785077,7.221332,7.312886,7.168688,7.196155,9.146258,9.24239,9.084459,9.125658,8.576333,8.777752,8.780041,8.674754
12,6.928359,6.770428,6.669718,5.706111,1.194781,1.21767,1.219959,1.128405,1.565576,1.547265,1.398489,1.352712,1.961547,1.812772,1.785306,1.723507,2.352941,2.35523,2.172122,2.23621,2.423896,2.469673,2.293431,2.041657,0.780499,0.785077,0.785077,0.764477,6.800183,6.516365,6.617075,6.468299,0.814832,0.782788,0.812543,0.785077,7.168688,7.260243,7.113756,7.143511,9.073014,9.169146,9.011215,9.056992,8.50309,8.70222,8.70222,8.594644
13,6.955825,6.788739,6.678874,5.806821,1.245136,1.268025,1.261158,1.160449,1.645686,1.63653,1.464866,1.412222,2.071412,1.931792,1.883726,1.81735,2.506294,2.490272,2.304875,2.401007,2.57496,2.627604,2.45594,2.169833,0.780499,0.782788,0.785077,0.759899,6.804761,6.518654,6.621653,6.470588,0.812543,0.780499,0.810254,0.787366,7.113756,7.203021,7.058824,7.08629,8.999771,9.091325,8.933394,8.976883,8.42298,8.617533,8.619821,8.516823
14,6.976425,6.793317,6.674296,5.866331,1.306935,1.332113,1.318379,1.199359,1.753262,1.746395,1.538109,1.47631,2.197299,2.069123,1.99588,1.920348,2.698558,2.65507,2.465095,2.586404,2.737469,2.801556,2.648203,2.307164,0.782788,0.782788,0.782788,0.764477,6.80705,6.520943,6.621653,6.477455,0.814832,0.782788,0.810254,0.785077,7.061112,7.150378,7.00618,7.038224,8.933394,9.020371,8.864729,8.905928,8.354314,8.542,8.546578,8.441291
15,7.015335,6.811627,6.66743,5.891508,1.366445,1.400778,1.380179,1.245136,1.879149,1.87686,1.604486,1.535821,2.339208,2.211032,2.110323,2.030213,2.906844,2.842756,2.645914,2.753491,2.909133,2.986954,2.867933,2.465095,0.780499,0.782788,0.782788,0.764477,6.80705,6.523232,6.62623,6.484321,0.814832,0.780499,0.810254,0.785077,7.003891,7.095445,6.951247,6.983291,8.860151,8.944839,8.784619,8.828107,8.278782,8.471046,8.468757,8.368048
