Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,5.510891,7.326637,5.512483,0.614266,5.313562,4.331691,4.322143,4.732715,3.882927,4.770907,2.759424,3.684006,2.406141,3.497817,2.633706,2.558912,1.125094,1.169652,1.115546,0.938904,0.832283,0.832283,0.859336,0.845014,9.953978,12.318744,12.58291,12.423774,13.200359,13.063502,12.907548,12.471515,0.895938,0.845014,0.892755,0.851379,15.129092,15.426677,15.086125,15.063846,18.725573,18.814689,18.47732,18.539384,17.678456,18.16223,18.176553,18.00946
2,6.596201,8.424678,6.532547,0.611084,6.360679,5.256273,5.276961,5.635018,4.686565,5.550676,3.434162,4.481279,2.94084,3.951355,3.168405,3.072923,1.161695,1.217393,1.166469,0.985054,0.833874,0.832283,0.860928,0.845014,9.9683,12.33784,12.592459,12.457193,13.209908,13.077824,12.925053,12.48902,0.895938,0.846605,0.894346,0.851379,15.084534,15.375753,15.032019,15.019288,18.658736,18.751035,18.434354,18.490051,17.592522,18.069931,18.082662,17.925117
3,7.501687,9.317433,7.375969,0.916625,7.247069,6.043998,6.109244,6.430699,5.417001,6.247693,4.029332,5.178296,3.442119,4.342831,3.644222,3.534418,1.199888,1.276273,1.223758,1.035978,0.833874,0.832283,0.859336,0.846605,9.973074,12.342614,12.592459,12.47788,13.216273,13.076233,12.925053,12.495385,0.895938,0.846605,0.894346,0.851379,15.017696,15.30255,14.961999,14.947676,18.574394,18.660327,18.34842,18.400935,17.477944,17.947396,17.96331,17.805765
4,8.319648,10.035138,8.077761,1.203071,7.969548,6.745789,6.82854,7.114986,6.043998,6.877873,4.549708,5.75437,3.867013,4.697705,4.03888,3.929076,1.250812,1.341519,1.282639,1.091675,0.833874,0.830692,0.859336,0.846605,9.9683,12.342614,12.592459,12.48902,13.214682,13.069868,12.925053,12.496977,0.897529,0.846605,0.894346,0.851379,14.936537,15.216617,14.879248,14.871291,18.478912,18.564845,18.259304,18.303862,17.353818,17.815313,17.828044,17.67209
5,9.067589,10.596889,8.653834,1.56431,8.575857,7.355282,7.460312,7.724478,6.570739,7.401431,5.022343,6.230188,4.229844,4.98415,4.358744,4.264854,1.306509,1.4004,1.336745,1.153738,0.833874,0.830692,0.859336,0.845014,9.971483,12.33784,12.59405,12.498568,13.21309,13.069868,12.926645,12.500159,0.895938,0.846605,0.894346,0.851379,14.850603,15.125909,14.783766,14.780583,18.365925,18.45345,18.144725,18.194058,17.212186,17.664134,17.68323,17.532051
6,9.755058,11.047245,9.167845,2.188125,9.124878,7.909076,8.017289,8.281455,7.01473,7.804046,5.466333,6.642351,4.525837,5.195801,4.616545,4.557665,1.366981,1.454506,1.392443,1.217393,0.835466,0.832283,0.859336,0.846605,9.97944,12.345797,12.603598,12.509708,13.221047,13.076233,12.93301,12.511299,0.897529,0.846605,0.894346,0.851379,14.771035,15.039975,14.705789,14.697832,18.26726,18.350011,18.041287,18.093802,17.08806,17.525685,17.54319,17.401559
7,10.385238,11.383022,9.651619,3.147717,9.602287,8.416721,8.478784,8.793874,7.374378,8.098448,5.886453,6.990859,4.764542,5.346981,4.82024,4.783638,1.421088,1.507021,1.444958,1.277865,0.835466,0.832283,0.859336,0.846605,9.973074,12.342614,12.600415,12.509708,13.225821,13.076233,12.929828,12.506525,0.897529,0.845014,0.894346,0.851379,14.67237,14.938128,14.603942,14.599168,18.146317,18.225885,17.918752,17.968084,16.936881,17.36814,17.382462,17.242422
8,10.939032,11.640823,10.106749,4.233027,10.016041,8.890947,8.943462,9.269692,7.678328,8.353066,6.320895,7.315498,4.977785,5.467925,4.988924,4.96028,1.473603,1.559536,1.499064,1.336745,0.833874,0.830692,0.859336,0.846605,9.971483,12.341023,12.590867,12.506525,13.217864,13.07305,12.925053,12.504934,0.895938,0.846605,0.894346,0.852971,14.575297,14.837872,14.500503,14.497321,18.02219,18.095393,17.786669,17.84714,16.793658,17.216961,17.2281,17.092834
9,11.437129,11.852475,10.531643,5.335841,10.361367,9.307884,9.389044,9.656393,7.931355,8.566309,6.691683,7.636953,5.156017,5.560224,5.125781,5.103502,1.527709,1.613642,1.556353,1.398808,0.835466,0.830692,0.859336,0.846605,9.973074,12.341023,12.590867,12.508116,13.222638,13.076233,12.928236,12.509708,0.895938,0.845014,0.895938,0.851379,14.467085,14.723294,14.392291,14.389108,17.890107,17.953762,17.657768,17.716649,16.64407,17.05305,17.076921,16.927332
10,11.935225,12.024342,10.92471,6.292251,10.639856,9.700951,9.724822,9.949204,8.136641,8.734994,6.992451,7.907485,5.291283,5.641383,5.24036,5.218081,1.589772,1.672523,1.620008,1.462463,0.835466,0.832283,0.859336,0.846605,9.971483,12.344206,12.595641,12.509708,13.222638,13.076233,12.926645,12.51289,0.89912,0.845014,0.894346,0.851379,14.358872,14.611899,14.280895,14.279304,17.751659,17.813722,17.516137,17.576609,16.486525,16.88914,16.908236,16.763422
11,12.336249,12.170747,11.225477,7.009956,10.884926,10.063782,9.988988,10.159264,8.295777,8.879808,7.277305,8.12391,5.391539,5.716177,5.331067,5.315154,1.661383,1.737769,1.693211,1.527709,0.835466,0.832283,0.859336,0.846605,9.971483,12.339432,12.592459,12.508116,13.22423,13.081007,12.928236,12.514482,0.897529,0.846605,0.894346,0.852971,14.241111,14.494138,14.161543,14.1695,17.608436,17.665725,17.371323,17.434977,16.330571,16.720455,16.739552,16.59792
