Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.897917,3.808652,4.733349,3.945983,0.915541,0.874342,0.89723,0.926986,0.828565,0.77821,0.773632,0.807965,0.746166,0.766766,0.75761,0.780499,1.055161,0.995651,1.046006,1.100938,0.753033,0.7393,0.746166,0.782788,0.801099,0.791943,0.796521,0.782788,6.655985,6.610208,6.520943,6.974136,0.782788,0.780499,0.762188,0.828565,6.559854,6.582742,6.841382,7.315175,0.787366,0.796521,0.791943,0.791943,6.855116,6.736095,6.944381,6.06775
2,4.483864,4.406043,5.246052,4.63035,0.93843,0.910964,0.933852,0.963607,0.840009,0.791943,0.782788,0.819409,0.755322,0.773632,0.766766,0.787366,1.121538,1.066606,1.11696,1.181048,0.75761,0.743877,0.750744,0.787366,0.801099,0.794232,0.794232,0.782788,6.653696,6.603342,6.511788,6.969558,0.782788,0.782788,0.762188,0.828565,6.562142,6.589609,6.84596,7.324331,0.787366,0.796521,0.791943,0.794232,6.852827,6.740673,6.944381,6.072328
3,5.028611,4.941634,5.678645,5.248341,0.968185,0.949874,0.975051,1.000229,0.844587,0.803388,0.794232,0.830854,0.762188,0.785077,0.775921,0.796521,1.206226,1.146715,1.201648,1.27718,0.764477,0.748455,0.755322,0.787366,0.801099,0.794232,0.796521,0.782788,6.653696,6.598764,6.509499,6.969558,0.782788,0.785077,0.759899,0.828565,6.564431,6.589609,6.850538,7.326619,0.787366,0.79881,0.791943,0.794232,6.852827,6.745251,6.94667,6.076905
4,5.477226,5.381094,6.035706,5.740444,1.002518,0.993362,1.01854,1.043717,0.851453,0.817121,0.807965,0.842298,0.773632,0.796521,0.785077,0.803388,1.302358,1.235981,1.302358,1.380179,0.769055,0.750744,0.75761,0.789654,0.801099,0.794232,0.796521,0.782788,6.653696,6.598764,6.511788,6.969558,0.780499,0.782788,0.759899,0.830854,6.56672,6.591897,6.850538,7.333486,0.787366,0.794232,0.791943,0.796521,6.857404,6.749828,6.951247,6.086061
5,5.80911,5.696956,6.317235,6.092927,1.041428,1.039139,1.064317,1.089494,0.860609,0.828565,0.819409,0.851453,0.780499,0.807965,0.796521,0.814832,1.391623,1.325246,1.396201,1.480888,0.771344,0.753033,0.764477,0.791943,0.801099,0.794232,0.796521,0.782788,6.662852,6.601053,6.516365,6.967269,0.780499,0.780499,0.762188,0.830854,6.569009,6.591897,6.852827,7.338064,0.787366,0.79881,0.789654,0.794232,6.864271,6.749828,6.953536,6.08835
6,6.051728,5.939574,6.54612,6.328679,1.087205,1.082628,1.107805,1.135271,0.874342,0.842298,0.830854,0.865187,0.789654,0.814832,0.803388,0.823987,1.47631,1.407645,1.485466,1.57702,0.771344,0.753033,0.764477,0.791943,0.801099,0.794232,0.794232,0.782788,6.665141,6.603342,6.511788,6.967269,0.782788,0.785077,0.759899,0.828565,6.569009,6.594186,6.855116,7.338064,0.787366,0.796521,0.791943,0.794232,6.86656,6.747539,6.953536,6.08835
7,6.234836,6.118105,6.736095,6.493477,1.135271,1.128405,1.153582,1.181048,0.885786,0.853742,0.842298,0.876631,0.794232,0.823987,0.810254,0.833143,1.560998,1.490043,1.574731,1.670863,0.771344,0.753033,0.762188,0.791943,0.801099,0.794232,0.796521,0.782788,6.665141,6.601053,6.509499,6.967269,0.782788,0.785077,0.759899,0.828565,6.569009,6.596475,6.857404,7.340352,0.789654,0.79881,0.794232,0.794232,6.864271,6.749828,6.953536,6.08835
8,6.381323,6.234836,6.882582,6.605631,1.176471,1.171893,1.203937,1.229114,0.899519,0.867475,0.853742,0.890364,0.803388,0.828565,0.821698,0.840009,1.647974,1.574731,1.666285,1.762417,0.775921,0.755322,0.764477,0.794232,0.803388,0.796521,0.796521,0.785077,6.662852,6.596475,6.50721,6.964981,0.782788,0.782788,0.762188,0.830854,6.571298,6.591897,6.855116,7.340352,0.787366,0.79881,0.789654,0.794232,6.861982,6.749828,6.953536,6.090639
9,6.477455,6.319524,6.978714,6.697185,1.219959,1.219959,1.254292,1.281758,0.910964,0.881209,0.869764,0.901808,0.810254,0.840009,0.830854,0.851453,1.732662,1.65713,1.75555,1.860838,0.773632,0.755322,0.766766,0.791943,0.801099,0.791943,0.794232,0.785077,6.665141,6.598764,6.50721,6.962692,0.782788,0.787366,0.764477,0.828565,6.573587,6.591897,6.855116,7.338064,0.787366,0.79881,0.791943,0.794232,6.864271,6.749828,6.951247,6.08835
10,6.569009,6.4065,7.063401,6.793317,1.270314,1.279469,1.313802,1.33669,0.924697,0.89723,0.881209,0.91783,0.821698,0.851453,0.840009,0.860609,1.821927,1.748684,1.853971,1.95697,0.773632,0.755322,0.769055,0.794232,0.801099,0.794232,0.796521,0.785077,6.669718,6.596475,6.50721,6.960403,0.780499,0.782788,0.762188,0.828565,6.569009,6.594186,6.857404,7.340352,0.787366,0.796521,0.789654,0.794232,6.864271,6.749828,6.951247,6.08835
11,6.653696,6.504921,7.159533,6.914626,1.327535,1.343557,1.380179,1.396201,0.945296,0.913252,0.89723,0.933852,0.830854,0.862898,0.849165,0.872053,1.911192,1.844816,1.952392,2.057679,0.775921,0.755322,0.769055,0.796521,0.801099,0.794232,0.794232,0.782788,6.669718,6.596475,6.50721,6.958114,0.780499,0.782788,0.762188,0.830854,6.571298,6.596475,6.857404,7.340352,0.789654,0.796521,0.791943,0.794232,6.864271,6.749828,6.953536,6.08835
12,6.76585,6.639963,7.278553,7.042802,1.391623,1.412222,1.455711,1.464866,0.961318,0.926986,0.915541,0.954452,0.83772,0.876631,0.860609,0.885786,2.002747,1.945525,2.053101,2.1561,0.77821,0.75761,0.771344,0.801099,0.801099,0.791943,0.794232,0.785077,6.672007,6.596475,6.509499,6.962692,0.780499,0.782788,0.762188,0.830854,6.571298,6.598764,6.857404,7.340352,0.789654,0.796521,0.791943,0.791943,6.86656,6.749828,6.951247,6.08835
13,6.94667,6.820783,7.390707,7.186999,1.448844,1.49691,1.540398,1.540398,0.979629,0.943008,0.936141,0.97734,0.856031,0.892653,0.876631,0.901808,2.09659,2.053101,2.153811,2.256809,0.77821,0.762188,0.775921,0.803388,0.801099,0.794232,0.796521,0.782788,6.672007,6.598764,6.50721,6.962692,0.782788,0.785077,0.762188,0.828565,6.573587,6.598764,6.857404,7.342641,0.787366,0.796521,0.791943,0.794232,6.86656,6.752117,6.955825,6.092927
14,7.143511,7.015335,7.477684,7.367819,1.508354,1.581598,1.625086,1.627375,1.000229,0.965896,0.961318,0.99794,0.869764,0.908675,0.888075,0.924697,2.199588,2.153811,2.263676,2.366674,0.782788,0.764477,0.77821,0.805676,0.801099,0.794232,0.794232,0.782788,6.674296,6.598764,6.511788,6.964981,0.780499,0.782788,0.764477,0.830854,6.575875,6.601053,6.859693,7.347219,0.787366,0.796521,0.791943,0.794232,6.871138,6.754406,6.955825,6.095216
