Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,4.065003,3.888762,3.888762,3.751431,1.922637,1.757839,1.911192,2.293431,0.741588,0.737011,0.746166,0.762188,0.755322,0.766766,0.835431,0.780499,0.803388,0.79881,0.775921,0.766766,0.803388,0.801099,0.791943,0.817121,6.992447,7.447929,7.042802,7.157244,6.694896,6.623941,6.523232,7.024491,0.785077,0.785077,0.764477,0.830854,6.543832,6.575875,6.855116,7.292287,0.789654,0.801099,0.79881,0.801099,6.90547,6.804761,7.118334,6.298924
2,4.676127,4.53193,4.456397,4.346532,2.183566,2.014191,2.185855,2.51545,0.743877,0.741588,0.746166,0.764477,0.759899,0.773632,0.844587,0.789654,0.801099,0.801099,0.782788,0.769055,0.79881,0.79881,0.789654,0.814832,6.983291,7.399863,7.017624,7.049668,6.692607,6.621653,6.520943,7.015335,0.785077,0.787366,0.766766,0.833143,6.550698,6.582742,6.841382,7.303731,0.789654,0.79881,0.79881,0.79881,6.898604,6.804761,7.097734,6.30808
3,5.200275,5.0309,4.921035,4.834058,2.442206,2.25452,2.451362,2.73518,0.743877,0.743877,0.750744,0.764477,0.766766,0.785077,0.853742,0.801099,0.801099,0.801099,0.785077,0.771344,0.796521,0.794232,0.789654,0.814832,6.983291,7.395285,7.015335,7.015335,6.694896,6.621653,6.518654,7.015335,0.782788,0.785077,0.764477,0.833143,6.555276,6.580453,6.836805,7.308309,0.789654,0.801099,0.801099,0.803388,6.894026,6.800183,7.072557,6.312657
4,5.660334,5.438315,5.330739,5.232319,2.69398,2.499428,2.705425,2.938888,0.748455,0.746166,0.755322,0.766766,0.77821,0.79881,0.865187,0.814832,0.803388,0.801099,0.785077,0.77821,0.796521,0.794232,0.789654,0.812543,6.990158,7.397574,7.017624,7.015335,6.699474,6.621653,6.518654,7.017624,0.782788,0.785077,0.762188,0.830854,6.555276,6.578164,6.836805,7.315175,0.789654,0.801099,0.801099,0.801099,6.896315,6.804761,7.047379,6.319524
5,6.033417,5.76791,5.64889,5.575647,2.904555,2.703136,2.920577,3.096818,0.753033,0.748455,0.75761,0.771344,0.787366,0.807965,0.876631,0.828565,0.803388,0.805676,0.789654,0.780499,0.796521,0.796521,0.791943,0.810254,6.994736,7.406729,7.015335,7.019913,6.699474,6.621653,6.518654,7.019913,0.785077,0.785077,0.764477,0.833143,6.557565,6.580453,6.839094,7.315175,0.791943,0.801099,0.79881,0.801099,6.900893,6.809339,7.031357,6.321813
6,6.310369,6.00824,5.861753,5.843442,3.057908,2.858778,3.076219,3.224994,0.755322,0.750744,0.759899,0.773632,0.79881,0.819409,0.888075,0.842298,0.807965,0.805676,0.791943,0.782788,0.79881,0.794232,0.789654,0.814832,6.994736,7.406729,7.017624,7.017624,6.699474,6.619364,6.516365,7.017624,0.782788,0.787366,0.764477,0.833143,6.559854,6.582742,6.841382,7.315175,0.789654,0.79881,0.79881,0.803388,6.903182,6.809339,7.024491,6.321813
7,6.50721,6.198215,6.024262,6.044862,3.163195,2.97322,3.186084,3.321126,0.75761,0.750744,0.759899,0.775921,0.807965,0.830854,0.901808,0.853742,0.807965,0.805676,0.791943,0.782788,0.79881,0.794232,0.789654,0.814832,6.990158,7.409018,7.019913,7.017624,6.701762,6.619364,6.516365,7.015335,0.785077,0.785077,0.764477,0.833143,6.559854,6.582742,6.841382,7.315175,0.789654,0.801099,0.801099,0.803388,6.900893,6.809339,7.02678,6.319524
8,6.628519,6.356146,6.115816,6.209659,3.23415,3.055619,3.259327,3.382925,0.75761,0.750744,0.764477,0.775921,0.821698,0.840009,0.915541,0.865187,0.807965,0.805676,0.791943,0.785077,0.79881,0.796521,0.789654,0.812543,6.98558,7.406729,7.017624,7.015335,6.701762,6.619364,6.516365,7.015335,0.785077,0.785077,0.764477,0.833143,6.557565,6.582742,6.843671,7.317464,0.789654,0.801099,0.79881,0.801099,6.898604,6.80705,7.024491,6.317235
9,6.72694,6.498054,6.184482,6.342412,3.284504,3.110552,3.316548,3.424125,0.75761,0.753033,0.762188,0.775921,0.833143,0.851453,0.929274,0.876631,0.807965,0.807965,0.791943,0.787366,0.796521,0.796521,0.789654,0.814832,6.98558,7.40444,7.019913,7.015335,6.701762,6.619364,6.516365,7.017624,0.785077,0.785077,0.764477,0.833143,6.559854,6.582742,6.843671,7.319753,0.791943,0.803388,0.796521,0.801099,6.898604,6.811627,7.02678,6.321813
10,6.829938,6.635386,6.296635,6.468299,3.321126,3.15404,3.360037,3.45388,0.759899,0.753033,0.764477,0.775921,0.846876,0.865187,0.943008,0.892653,0.812543,0.810254,0.796521,0.785077,0.79881,0.794232,0.789654,0.814832,6.983291,7.406729,7.022202,7.017624,6.704051,6.623941,6.518654,7.019913,0.782788,0.787366,0.764477,0.833143,6.559854,6.582742,6.843671,7.319753,0.791943,0.801099,0.801099,0.801099,6.900893,6.809339,7.029068,6.317235
