Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.5729,4.005493,3.978027,4.140536,4.53193,4.245823,4.646372,4.593729,0.881209,1.023117,0.872053,0.821698,0.823987,0.830854,0.883497,0.755322,0.803388,0.79881,0.828565,0.704967,0.849165,0.93843,0.801099,0.826276,0.849165,0.876631,0.885786,0.842298,9.038682,8.587778,8.74342,8.823529,0.629435,0.590524,0.588235,0.585946,0.595102,0.613413,0.615702,0.61799,1.698329,1.739528,1.659419,1.668574,3.904784,3.77203,3.746853,4.016938
2,4.23209,4.639506,4.634928,4.797436,5.062943,4.797436,5.216297,5.136187,0.901808,1.046006,0.892653,0.840009,0.830854,0.844587,0.892653,0.75761,0.810254,0.810254,0.840009,0.711833,0.85832,0.952163,0.810254,0.83772,0.849165,0.876631,0.888075,0.842298,9.015793,8.578622,8.738842,8.828107,0.631724,0.592813,0.588235,0.583658,0.595102,0.611124,0.613413,0.61799,1.698329,1.741817,1.659419,1.670863,3.909361,3.774319,3.749142,4.019226
3,4.783703,5.175097,5.197986,5.344472,5.504692,5.223163,5.630579,5.561913,0.926986,1.066606,0.91783,0.860609,0.842298,0.851453,0.899519,0.764477,0.821698,0.823987,0.849165,0.725566,0.876631,0.963607,0.826276,0.853742,0.849165,0.87892,0.885786,0.842298,9.008927,8.578622,8.736553,8.832685,0.629435,0.592813,0.585946,0.583658,0.595102,0.613413,0.615702,0.615702,1.700618,1.741817,1.659419,1.670863,3.909361,3.774319,3.749142,4.016938
4,5.236896,5.607691,5.6878,5.806821,5.886931,5.557336,5.994507,5.918975,0.95903,1.094072,0.949874,0.883497,0.853742,0.862898,0.908675,0.775921,0.833143,0.840009,0.865187,0.748455,0.894942,0.975051,0.842298,0.872053,0.849165,0.876631,0.888075,0.844587,9.006638,8.578622,8.731975,8.834974,0.631724,0.592813,0.585946,0.583658,0.597391,0.613413,0.613413,0.615702,1.700618,1.744106,1.661707,1.670863,3.907073,3.769741,3.746853,4.01236
5,5.607691,5.92813,6.044862,6.150149,6.177615,5.799954,6.264591,6.184482,0.991073,1.121538,0.979629,0.910964,0.865187,0.872053,0.91783,0.785077,0.844587,0.851453,0.874342,0.766766,0.910964,0.984207,0.853742,0.885786,0.849165,0.876631,0.885786,0.842298,9.011215,8.5832,8.736553,8.834974,0.631724,0.592813,0.588235,0.585946,0.597391,0.611124,0.615702,0.61799,1.698329,1.741817,1.663996,1.673152,3.900206,3.765164,3.742275,4.010071
6,5.891508,6.159304,6.289769,6.372168,6.385901,5.971618,6.4477,6.356146,1.020829,1.151293,1.009384,0.933852,0.874342,0.87892,0.926986,0.789654,0.853742,0.862898,0.888075,0.787366,0.926986,0.99794,0.865187,0.901808,0.849165,0.87892,0.885786,0.842298,9.013504,8.585489,8.741131,8.837263,0.631724,0.590524,0.585946,0.583658,0.595102,0.611124,0.613413,0.613413,1.700618,1.741817,1.661707,1.673152,3.895628,3.762875,3.739986,4.003204
7,6.115816,6.344701,6.477455,6.532387,6.559854,6.111238,6.56672,6.479744,1.050584,1.185626,1.041428,0.961318,0.881209,0.888075,0.933852,0.796521,0.862898,0.874342,0.899519,0.803388,0.940719,1.011673,0.874342,0.915541,0.849165,0.87892,0.885786,0.844587,9.013504,8.585489,8.741131,8.837263,0.629435,0.592813,0.585946,0.585946,0.595102,0.613413,0.615702,0.61799,1.698329,1.741817,1.661707,1.673152,3.893339,3.756008,3.735409,3.998627
8,6.30808,6.520943,6.610208,6.642252,6.717784,6.22797,6.655985,6.580453,1.082628,1.215381,1.071183,0.986496,0.890364,0.899519,0.940719,0.805676,0.872053,0.888075,0.908675,0.819409,0.954452,1.023117,0.885786,0.931563,0.849165,0.876631,0.885786,0.844587,9.006638,8.587778,8.741131,8.837263,0.631724,0.590524,0.585946,0.585946,0.597391,0.611124,0.615702,0.61799,1.698329,1.739528,1.659419,1.670863,3.884184,3.749142,3.728542,3.987182
9,6.470588,6.676585,6.736095,6.724651,6.84596,6.333257,6.733806,6.672007,1.114672,1.245136,1.105516,1.013962,0.89723,0.906386,0.945296,0.810254,0.876631,0.899519,0.91783,0.83772,0.970474,1.036851,0.899519,0.945296,0.849165,0.876631,0.885786,0.844587,9.00206,8.585489,8.738842,8.837263,0.629435,0.590524,0.585946,0.585946,0.595102,0.613413,0.613413,0.61799,1.698329,1.741817,1.661707,1.670863,3.877317,3.742275,3.723964,3.980316
10,6.594186,6.797894,6.868849,6.800183,6.958114,6.438544,6.818494,6.754406,1.149004,1.281758,1.142138,1.039139,0.904097,0.913252,0.949874,0.812543,0.888075,0.913252,0.929274,0.851453,0.986496,1.048295,0.908675,0.95903,0.851453,0.876631,0.885786,0.842298,9.004349,8.585489,8.731975,8.84184,0.629435,0.590524,0.585946,0.585946,0.595102,0.613413,0.615702,0.61799,1.69604,1.739528,1.659419,1.670863,3.870451,3.735409,3.717098,3.97116
