Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.87274,3.916228,3.776608,3.801785,0.780499,0.789654,0.737011,0.762188,0.842298,0.771344,0.77821,0.77821,0.805676,0.807965,0.787366,0.748455,0.785077,0.801099,0.684367,0.759899,0.810254,0.826276,0.817121,0.755322,0.817121,0.819409,0.753033,0.762188,0.812543,0.819409,0.821698,0.810254,6.138705,6.511788,6.431678,6.578164,0.794232,0.801099,0.803388,0.830854,6.033417,6.152438,6.321813,6.637675,7.557794,7.557794,7.793545,6.839094
2,4.541085,4.593729,4.438087,4.422065,0.787366,0.796521,0.746166,0.769055,0.851453,0.782788,0.791943,0.789654,0.812543,0.814832,0.794232,0.753033,0.791943,0.807965,0.686656,0.766766,0.814832,0.830854,0.821698,0.762188,0.823987,0.823987,0.75761,0.769055,0.812543,0.819409,0.823987,0.810254,6.138705,6.518654,6.431678,6.578164,0.794232,0.803388,0.803388,0.833143,6.04715,6.154726,6.314946,6.603342,7.566949,7.56466,7.802701,6.843671
3,5.083543,5.124743,4.957656,4.927901,0.794232,0.803388,0.753033,0.775921,0.867475,0.79881,0.803388,0.803388,0.817121,0.819409,0.801099,0.759899,0.79881,0.814832,0.695811,0.773632,0.819409,0.83772,0.826276,0.769055,0.828565,0.828565,0.764477,0.775921,0.812543,0.819409,0.823987,0.812543,6.134127,6.530098,6.433967,6.580453,0.796521,0.79881,0.803388,0.830854,6.049439,6.152438,6.310369,6.573587,7.562371,7.56466,7.800412,6.84596
4,5.513848,5.541314,5.374228,5.326162,0.796521,0.807965,0.759899,0.780499,0.87892,0.807965,0.819409,0.817121,0.819409,0.823987,0.805676,0.764477,0.807965,0.819409,0.707256,0.780499,0.823987,0.840009,0.828565,0.771344,0.830854,0.833143,0.769055,0.77821,0.810254,0.821698,0.823987,0.812543,6.136416,6.534676,6.438544,6.585031,0.794232,0.801099,0.803388,0.830854,6.049439,6.150149,6.310369,6.559854,7.560082,7.560082,7.800412,6.84596
5,5.850309,5.882353,5.706111,5.626001,0.801099,0.812543,0.769055,0.785077,0.892653,0.821698,0.833143,0.833143,0.823987,0.826276,0.807965,0.771344,0.814832,0.826276,0.720989,0.787366,0.828565,0.842298,0.830854,0.775921,0.833143,0.83772,0.773632,0.782788,0.812543,0.821698,0.821698,0.812543,6.136416,6.539254,6.443122,6.589609,0.794232,0.801099,0.803388,0.828565,6.058595,6.152438,6.30808,6.550698,7.562371,7.562371,7.798123,6.848249
6,6.099794,6.150149,5.973907,5.845731,0.807965,0.817121,0.773632,0.796521,0.904097,0.828565,0.846876,0.846876,0.823987,0.828565,0.810254,0.77821,0.819409,0.833143,0.730144,0.794232,0.830854,0.844587,0.833143,0.77821,0.83772,0.840009,0.775921,0.787366,0.812543,0.821698,0.821698,0.814832,6.138705,6.543832,6.445411,6.589609,0.794232,0.801099,0.803388,0.828565,6.058595,6.154726,6.30808,6.552987,7.562371,7.56466,7.798123,6.84596
7,6.294347,6.351568,6.234836,6.00824,0.810254,0.819409,0.785077,0.79881,0.913252,0.83772,0.85832,0.85832,0.826276,0.830854,0.812543,0.782788,0.828565,0.835431,0.7393,0.79881,0.833143,0.849165,0.835431,0.780499,0.840009,0.842298,0.775921,0.791943,0.812543,0.821698,0.823987,0.814832,6.138705,6.543832,6.445411,6.594186,0.794232,0.803388,0.803388,0.830854,6.058595,6.157015,6.310369,6.550698,7.562371,7.560082,7.793545,6.848249
8,6.470588,6.541543,6.472877,6.152438,0.810254,0.823987,0.791943,0.801099,0.920119,0.849165,0.869764,0.872053,0.828565,0.830854,0.812543,0.785077,0.833143,0.83772,0.748455,0.805676,0.83772,0.849165,0.83772,0.787366,0.842298,0.844587,0.782788,0.796521,0.812543,0.821698,0.821698,0.817121,6.136416,6.54612,6.443122,6.591897,0.794232,0.801099,0.803388,0.830854,6.058595,6.154726,6.310369,6.548409,7.562371,7.560082,7.798123,6.850538
9,6.617075,6.724651,6.662852,6.289769,0.814832,0.823987,0.796521,0.807965,0.931563,0.856031,0.881209,0.883497,0.833143,0.833143,0.817121,0.789654,0.835431,0.840009,0.75761,0.810254,0.83772,0.849165,0.840009,0.789654,0.844587,0.846876,0.782788,0.796521,0.814832,0.821698,0.823987,0.814832,6.136416,6.543832,6.443122,6.591897,0.796521,0.801099,0.803388,0.830854,6.058595,6.154726,6.305791,6.54612,7.560082,7.557794,7.793545,6.848249
10,6.749828,6.894026,6.816205,6.408789,0.817121,0.828565,0.801099,0.810254,0.93843,0.865187,0.892653,0.894942,0.833143,0.833143,0.817121,0.794232,0.842298,0.844587,0.764477,0.819409,0.840009,0.853742,0.842298,0.794232,0.844587,0.846876,0.787366,0.79881,0.814832,0.823987,0.823987,0.814832,6.138705,6.54612,6.445411,6.589609,0.796521,0.801099,0.801099,0.830854,6.058595,6.157015,6.303502,6.550698,7.560082,7.562371,7.798123,6.850538
