Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.762875,3.875029,4.932479,3.861295,0.759899,0.77821,0.748455,0.755322,1.400778,1.851682,1.414511,0.860609,2.476539,2.577249,2.93431,3.231861,3.568322,3.5729,3.105974,3.009842,3.051041,3.476768,2.584115,2.380407,3.527123,0.679789,3.005264,3.630121,0.807965,0.814832,0.771344,0.823987,6.871138,6.699474,6.445411,5.685512,0.794232,0.803388,0.801099,0.833143,6.111238,6.385901,6.575875,7.035935,7.56466,7.692836,7.921721,6.868849
2,4.424353,4.513619,5.497826,4.499886,0.764477,0.785077,0.753033,0.759899,1.588464,2.025635,1.61593,0.954452,2.890822,3.060197,3.389792,3.705653,4.076448,4.113069,3.682765,3.559167,3.602655,3.902495,3.121996,2.904555,4.044404,0.677501,3.522545,4.145113,0.807965,0.817121,0.773632,0.823987,6.859693,6.690318,6.438544,5.680934,0.794232,0.801099,0.801099,0.835431,6.120394,6.401923,6.585031,7.038224,7.571527,7.701991,7.933165,6.875715
3,4.946212,5.035477,5.964752,5.026322,0.769055,0.791943,0.759899,0.766766,1.801328,2.213321,1.83566,1.080339,3.309682,3.531701,3.868162,4.184024,4.566262,4.618906,4.216068,4.060426,4.106203,4.284733,3.582055,3.360037,4.433509,0.670634,3.87274,4.51133,0.807965,0.817121,0.771344,0.823987,6.855116,6.694896,6.438544,5.680934,0.796521,0.803388,0.801099,0.833143,6.12726,6.401923,6.585031,7.038224,7.573816,7.711147,7.937743,6.880293
4,5.342184,5.433738,6.32639,5.445182,0.773632,0.794232,0.762188,0.769055,2.018769,2.368963,2.057679,1.245136,3.698787,3.948272,4.303044,4.600595,4.998856,5.044633,4.678416,4.495308,4.504463,4.575418,3.943694,3.73312,4.703593,0.670634,4.126802,4.774548,0.807965,0.814832,0.771344,0.826276,6.84596,6.690318,6.438544,5.678645,0.791943,0.803388,0.803388,0.835431,6.12726,6.397345,6.582742,7.035935,7.573816,7.711147,7.942321,6.880293
5,5.632868,5.710689,6.598764,5.761044,0.77821,0.796521,0.769055,0.773632,2.249943,2.558938,2.279698,1.448844,4.037537,4.300755,4.648661,4.948501,5.323873,5.365072,5.033188,4.866102,4.792859,4.79057,4.229801,4.032959,4.877546,0.666056,4.321355,4.943923,0.807965,0.817121,0.773632,0.823987,6.841382,6.692607,6.436255,5.674067,0.794232,0.801099,0.803388,0.833143,6.129549,6.397345,6.589609,7.031357,7.576104,7.715724,7.942321,6.882582
6,5.884642,5.916686,6.818494,5.994507,0.780499,0.79881,0.773632,0.775921,2.471962,2.762646,2.490272,1.666285,4.293889,4.577707,4.907301,5.23003,5.557336,5.598535,5.296407,5.147631,4.973678,4.95079,4.442664,4.264134,4.982834,0.833143,4.460975,5.037766,0.807965,0.814832,0.773632,0.823987,6.836805,6.68574,6.436255,5.664912,0.794232,0.803388,0.803388,0.833143,6.129549,6.392767,6.589609,7.02678,7.573816,7.720302,7.942321,6.880293
7,6.06775,6.06775,6.987869,6.177615,0.785077,0.796521,0.773632,0.773632,2.684825,2.952621,2.689403,1.890593,4.497597,4.804303,5.117876,5.442893,5.751888,5.774777,5.48867,5.360494,5.094987,5.06981,4.589151,4.449531,5.044633,1.126116,4.559396,5.099565,0.807965,0.817121,0.773632,0.823987,6.832227,6.690318,6.433967,5.658045,0.794232,0.803388,0.801099,0.833143,6.134127,6.38819,6.589609,7.017624,7.573816,7.718013,7.942321,6.878004
8,6.221103,6.216526,7.118334,6.328679,0.787366,0.796521,0.77821,0.773632,2.890822,3.126574,2.879377,2.110323,4.657816,4.991989,5.271229,5.62829,5.905241,5.909819,5.642023,5.534447,5.186542,5.145342,4.703593,4.602884,5.078965,1.693751,4.637217,5.14992,0.810254,0.814832,0.773632,0.823987,6.832227,6.688029,6.431678,5.651179,0.794232,0.803388,0.803388,0.833143,6.131838,6.381323,6.589609,7.00618,7.571527,7.715724,7.942321,6.880293
9,6.4065,6.363012,7.214466,6.445411,0.787366,0.79881,0.782788,0.775921,3.085374,3.282216,3.064775,2.332341,4.781415,5.14992,5.392538,5.790799,6.019684,6.003662,5.765621,5.674067,5.264363,5.18883,4.81117,4.728771,5.101854,2.25452,4.733349,5.18883,0.805676,0.814832,0.773632,0.823987,6.82536,6.68574,6.431678,5.64889,0.796521,0.801099,0.801099,0.830854,6.131838,6.379034,6.589609,6.997024,7.571527,7.713436,7.940032,6.880293
10,6.552987,6.491188,7.303731,6.541543,0.789654,0.79881,0.787366,0.77821,3.266194,3.447013,3.243305,2.533761,4.882124,5.287251,5.502403,5.916686,6.111238,6.083772,5.875486,5.790799,5.333028,5.225452,4.914168,4.847791,5.124743,2.609293,4.820325,5.23003,0.805676,0.814832,0.771344,0.823987,6.832227,6.688029,6.429389,5.653468,0.794232,0.801099,0.803388,0.835431,6.131838,6.374456,6.58732,6.98558,7.569238,7.708858,7.937743,6.878004
11,6.683452,6.617075,7.409018,6.637675,0.791943,0.801099,0.787366,0.77821,3.430991,3.604944,3.41268,2.684825,4.973678,5.392538,5.616846,6.021973,6.193637,6.16846,5.971618,5.898375,5.390249,5.252918,5.003433,4.941634,5.163653,2.883955,4.900435,5.282673,0.807965,0.814832,0.769055,0.823987,6.827649,6.683452,6.431678,5.655756,0.796521,0.803388,0.803388,0.833143,6.134127,6.374456,6.591897,6.976425,7.571527,7.706569,7.94461,6.880293
12,6.797894,6.729229,7.523461,6.747539,0.794232,0.803388,0.791943,0.77821,3.588922,3.751431,3.586633,2.845045,5.062943,5.474937,5.740444,6.108949,6.292058,6.282902,6.070039,5.996796,5.456626,5.278096,5.06981,5.019455,5.220874,3.135729,4.964523,5.335317,0.807965,0.817121,0.773632,0.823987,6.827649,6.68574,6.429389,5.653468,0.796521,0.801099,0.801099,0.833143,6.134127,6.372168,6.594186,6.964981,7.571527,7.701991,7.949187,6.878004
13,6.969558,6.841382,7.635615,6.868849,0.794232,0.805676,0.791943,0.782788,3.739986,3.888762,3.767453,2.99382,5.156786,5.543603,5.866331,6.189059,6.390478,6.379034,6.163882,6.090639,5.566491,5.321584,5.133898,5.101854,5.296407,3.341726,5.0309,5.387961,0.807965,0.817121,0.773632,0.821698,6.82536,6.683452,6.4271,5.651179,0.791943,0.803388,0.801099,0.833143,6.134127,6.369879,6.594186,6.955825,7.571527,7.695125,7.946899,6.878004
