Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,4.504463,3.607233,0.691234,2.835889,1.515221,1.462577,1.670863,1.570153,0.794232,0.789654,0.794232,0.785077,0.805676,0.814832,0.853742,0.842298,1.011673,0.675212,1.171893,1.009384,0.95903,1.082628,0.954452,1.144427,0.755322,0.782788,0.782788,0.704967,0.79881,0.817121,0.807965,0.817121,6.021973,6.145571,6.548409,6.461433,0.805676,0.812543,0.810254,0.851453,6.294347,6.440833,6.742962,7.001602,7.775235,7.768368,8.006409,7.00618
2,5.108721,4.227512,0.688945,3.385214,1.59762,1.554131,1.741817,1.645686,0.807965,0.805676,0.810254,0.79881,0.814832,0.826276,0.862898,0.853742,1.07805,0.686656,1.240558,1.07805,1.020829,1.139849,1.011673,1.19707,0.759899,0.789654,0.789654,0.709545,0.79881,0.814832,0.807965,0.814832,5.992218,6.122683,6.509499,6.356146,0.805676,0.812543,0.807965,0.849165,6.30808,6.4477,6.754406,7.010758,7.788968,7.777523,8.013275,7.015335
3,5.64889,4.724193,0.684367,3.810941,1.643397,1.609064,1.780728,1.69604,0.817121,0.812543,0.823987,0.812543,0.821698,0.833143,0.872053,0.860609,1.146715,0.704967,1.306935,1.151293,1.096361,1.203937,1.084916,1.25658,0.769055,0.79881,0.79881,0.714122,0.79881,0.814832,0.805676,0.814832,5.976196,6.122683,6.493477,6.296635,0.805676,0.812543,0.807965,0.851453,6.30808,6.445411,6.752117,7.008469,7.791257,7.772946,8.015564,7.013046
4,6.124971,5.143053,0.682078,4.177157,1.684596,1.650263,1.812772,1.730373,0.821698,0.823987,0.835431,0.821698,0.828565,0.840009,0.883497,0.869764,1.21767,0.730144,1.373312,1.224537,1.181048,1.284047,1.15816,1.327535,0.780499,0.805676,0.807965,0.727855,0.79881,0.814832,0.805676,0.814832,5.983062,6.12726,6.493477,6.278325,0.805676,0.812543,0.807965,0.849165,6.312657,6.449989,6.754406,7.008469,7.791257,7.770657,8.017853,7.019913
5,6.516365,5.48867,0.679789,4.504463,1.71664,1.686885,1.840238,1.753262,0.826276,0.833143,0.844587,0.828565,0.835431,0.846876,0.888075,0.876631,1.286336,0.775921,1.428244,1.293202,1.268025,1.364157,1.240558,1.400778,0.791943,0.810254,0.817121,0.7393,0.79881,0.817121,0.805676,0.814832,5.992218,6.134127,6.493477,6.273747,0.805676,0.812543,0.807965,0.851453,6.312657,6.449989,6.749828,7.008469,7.791257,7.770657,8.020142,7.022202
6,6.795605,5.763333,0.679789,4.806592,1.741817,1.718929,1.860838,1.773861,0.830854,0.840009,0.853742,0.83772,0.842298,0.849165,0.89723,0.881209,1.338979,0.828565,1.467155,1.345846,1.359579,1.444266,1.322957,1.47631,0.801099,0.817121,0.821698,0.755322,0.79881,0.814832,0.805676,0.814832,6.001373,6.138705,6.498054,6.271458,0.805676,0.812543,0.807965,0.849165,6.317235,6.452277,6.754406,7.010758,7.793545,7.770657,8.022431,7.019913
7,7.001602,6.003662,0.675212,5.120165,1.764706,1.748684,1.87686,1.794461,0.83772,0.844587,0.85832,0.842298,0.846876,0.853742,0.901808,0.885786,1.384756,0.888075,1.49691,1.393912,1.448844,1.522087,1.405356,1.547265,0.810254,0.821698,0.828565,0.766766,0.79881,0.814832,0.805676,0.817121,6.005951,6.143282,6.498054,6.271458,0.805676,0.814832,0.807965,0.851453,6.314946,6.449989,6.749828,7.00618,7.791257,7.770657,8.022431,7.02678
8,7.159533,6.223392,0.677501,5.456626,1.787594,1.77615,1.890593,1.810483,0.842298,0.849165,0.865187,0.846876,0.851453,0.85832,0.906386,0.890364,1.421378,0.947585,1.51751,1.430533,1.535821,1.599908,1.492332,1.618219,0.817121,0.830854,0.835431,0.780499,0.79881,0.812543,0.805676,0.817121,6.00824,6.138705,6.495766,6.271458,0.805676,0.812543,0.807965,0.851453,6.314946,6.449989,6.747539,7.00618,7.791257,7.770657,8.022431,7.024491
9,7.276265,6.420233,0.87892,5.731289,1.808194,1.799039,1.904326,1.821927,0.844587,0.853742,0.869764,0.853742,0.853742,0.85832,0.908675,0.892653,1.444266,1.004807,1.528954,1.458,1.618219,1.670863,1.570153,1.682307,0.823987,0.833143,0.840009,0.789654,0.79881,0.814832,0.807965,0.814832,6.010529,6.143282,6.493477,6.273747,0.805676,0.812543,0.807965,0.851453,6.314946,6.452277,6.749828,7.010758,7.793545,7.772946,8.022431,7.024491
10,7.363241,6.591897,1.245136,5.92813,1.824216,1.812772,1.908904,1.833371,0.849165,0.856031,0.869764,0.853742,0.856031,0.860609,0.910964,0.894942,1.462577,1.062028,1.538109,1.483177,1.69604,1.732662,1.647974,1.746395,0.833143,0.840009,0.846876,0.79881,0.79881,0.814832,0.805676,0.817121,6.010529,6.140993,6.491188,6.278325,0.803388,0.812543,0.807965,0.851453,6.314946,6.452277,6.749828,7.008469,7.791257,7.770657,8.022431,7.022202
