Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.286793,3.392081,4.282444,3.270771,0.748455,0.716411,0.732433,0.741588,0.759899,0.714122,0.743877,0.769055,0.77821,0.755322,0.748455,0.746166,0.75761,0.782788,0.782788,0.75761,0.791943,0.794232,0.791943,0.773632,6.04715,5.978485,5.834287,6.154726,5.829709,5.838865,6.504921,5.859464,0.782788,0.785077,0.77821,0.828565,6.095216,5.861753,5.758755,5.067521,6.337835,6.504921,6.82536,7.079423,7.859922,7.848478,8.095674,7.104601
2,3.920806,4.042115,4.840925,3.861295,0.750744,0.7187,0.7393,0.746166,0.759899,0.711833,0.746166,0.773632,0.77821,0.75761,0.753033,0.748455,0.755322,0.785077,0.787366,0.759899,0.791943,0.791943,0.789654,0.773632,6.049439,5.976196,5.820554,6.115816,5.813687,5.836576,6.509499,5.845731,0.782788,0.785077,0.77821,0.828565,6.097505,5.873198,5.751888,5.074388,6.349279,6.511788,6.832227,7.08629,7.8645,7.848478,8.104829,7.111467
3,4.447242,4.568551,5.335317,4.37171,0.755322,0.723278,0.743877,0.748455,0.764477,0.714122,0.748455,0.773632,0.785077,0.762188,0.755322,0.755322,0.75761,0.794232,0.794232,0.764477,0.791943,0.791943,0.789654,0.773632,6.040284,5.973907,5.804532,6.086061,5.80911,5.841154,6.509499,5.843442,0.785077,0.782788,0.77821,0.828565,6.102083,5.873198,5.749599,5.076677,6.351568,6.511788,6.829938,7.08629,7.866789,7.848478,8.107118,7.111467
4,4.872969,4.9897,5.751888,4.79057,0.759899,0.727855,0.743877,0.755322,0.771344,0.7187,0.753033,0.77821,0.791943,0.762188,0.762188,0.75761,0.75761,0.789654,0.794232,0.771344,0.794232,0.796521,0.791943,0.775921,6.044862,5.983062,5.793088,6.070039,5.80911,5.845731,6.511788,5.845731,0.785077,0.782788,0.77821,0.828565,6.099794,5.875486,5.749599,5.074388,6.356146,6.516365,6.832227,7.088579,7.871366,7.853056,8.109407,7.113756
5,5.216297,5.319295,6.083772,5.131609,0.764477,0.727855,0.748455,0.759899,0.773632,0.723278,0.75761,0.780499,0.796521,0.762188,0.764477,0.764477,0.759899,0.791943,0.794232,0.775921,0.791943,0.794232,0.789654,0.77821,6.051728,5.98764,5.793088,6.058595,5.815976,5.843442,6.504921,5.843442,0.785077,0.782788,0.775921,0.826276,6.102083,5.877775,5.756466,5.076677,6.356146,6.516365,6.832227,7.088579,7.871366,7.857633,8.109407,7.118334
6,5.500114,5.580224,6.333257,5.415427,0.769055,0.730144,0.750744,0.762188,0.775921,0.723278,0.759899,0.782788,0.79881,0.764477,0.771344,0.771344,0.764477,0.794232,0.796521,0.780499,0.791943,0.796521,0.791943,0.775921,6.054017,5.98764,5.799954,6.058595,5.818265,5.845731,6.502632,5.838865,0.785077,0.782788,0.77821,0.828565,6.102083,5.877775,5.758755,5.078965,6.358434,6.514076,6.829938,7.08629,7.869078,7.853056,8.107118,7.116045
7,5.726711,5.804532,6.516365,5.644312,0.771344,0.730144,0.750744,0.762188,0.77821,0.725566,0.759899,0.780499,0.803388,0.766766,0.775921,0.771344,0.764477,0.796521,0.79881,0.780499,0.794232,0.794232,0.789654,0.775921,6.063172,5.989929,5.802243,6.060883,5.818265,5.845731,6.504921,5.838865,0.787366,0.785077,0.77821,0.828565,6.102083,5.875486,5.756466,5.076677,6.358434,6.514076,6.829938,7.08629,7.869078,7.855344,8.111696,7.116045
8,5.918975,6.00824,6.655985,5.861753,0.773632,0.730144,0.748455,0.762188,0.77821,0.723278,0.759899,0.782788,0.803388,0.769055,0.773632,0.773632,0.769055,0.79881,0.79881,0.782788,0.794232,0.794232,0.789654,0.775921,6.065461,5.98764,5.804532,6.063172,5.815976,5.843442,6.504921,5.836576,0.785077,0.782788,0.775921,0.828565,6.102083,5.875486,5.756466,5.078965,6.360723,6.518654,6.832227,7.088579,7.869078,7.857633,8.111696,7.116045
9,6.095216,6.200504,6.758984,6.060883,0.773632,0.730144,0.750744,0.764477,0.77821,0.723278,0.762188,0.780499,0.805676,0.769055,0.775921,0.775921,0.769055,0.801099,0.801099,0.785077,0.791943,0.794232,0.789654,0.775921,6.063172,5.989929,5.804532,6.06775,5.815976,5.845731,6.502632,5.836576,0.785077,0.785077,0.77821,0.828565,6.102083,5.875486,5.756466,5.076677,6.358434,6.516365,6.829938,7.088579,7.869078,7.857633,8.111696,7.118334
10,6.269169,6.383612,6.852827,6.225681,0.775921,0.730144,0.750744,0.766766,0.780499,0.725566,0.764477,0.782788,0.807965,0.771344,0.77821,0.77821,0.771344,0.805676,0.801099,0.785077,0.791943,0.794232,0.789654,0.775921,6.063172,5.989929,5.804532,6.06775,5.820554,5.850309,6.502632,5.836576,0.785077,0.782788,0.77821,0.828565,6.104372,5.875486,5.758755,5.081254,6.360723,6.514076,6.827649,7.08629,7.866789,7.853056,8.109407,7.116045
