Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.761149,3.779304,3.912442,3.830744,0.934992,0.677794,0.455393,0.90322,1.860906,1.903268,1.643044,1.850316,0.450854,0.456905,0.649048,0.61425,1.20732,1.190678,1.14529,1.216397,1.776182,0.518936,1.127134,0.531039,1.060565,1.036358,0.455393,1.045436,0.520449,0.487164,0.51591,0.517423,10.262218,10.269783,10.319709,9.991403,0.37672,0.37672,0.37672,0.37672,0.37672,0.378233,0.37672,0.375207,0.37672,0.375207,0.37672,0.37672
2,4.22108,4.254365,4.503999,4.333037,1.089311,0.786725,0.452367,1.057539,2.316299,2.376816,2.057588,2.308734,0.449341,0.450854,0.739824,0.695949,1.461492,1.435772,1.387359,1.48116,2.217958,0.609712,1.422156,0.626354,1.264811,1.234553,0.452367,1.252708,0.523474,0.488677,0.517423,0.520449,10.354507,10.352994,10.41805,10.10336,0.378233,0.37672,0.37672,0.375207,0.375207,0.379746,0.37672,0.37672,0.378233,0.37672,0.37672,0.37672
3,4.522154,4.559977,4.888283,4.671934,1.246656,0.900195,0.450854,1.216397,2.759588,2.845825,2.444898,2.75051,0.447828,0.447828,0.832113,0.77916,1.727768,1.689945,1.630941,1.750462,2.659734,0.729233,1.700536,0.74285,1.476622,1.441824,0.449341,1.463005,0.523474,0.49019,0.517423,0.518936,10.346942,10.348455,10.425615,10.10336,0.37672,0.37672,0.378233,0.375207,0.37672,0.378233,0.37672,0.37672,0.378233,0.37672,0.37672,0.37672
4,4.756658,4.808098,5.168176,4.935184,1.411566,1.024255,0.447828,1.385846,3.177157,3.296679,2.812541,3.196825,0.446315,0.444802,0.930453,0.868423,2.003122,1.948656,1.880575,2.030355,3.104537,0.880526,1.977402,0.889604,1.699023,1.662712,0.447828,1.683893,0.523474,0.491703,0.51591,0.518936,10.313658,10.325761,10.408972,10.082179,0.378233,0.378233,0.37672,0.375207,0.375207,0.379746,0.37672,0.378233,0.37672,0.375207,0.375207,0.375207
5,5.004779,5.056219,5.407219,5.205999,1.591604,1.158906,0.446315,1.562859,3.561442,3.703658,3.155976,3.624985,0.469009,0.444802,1.039384,0.974328,2.292092,2.222497,2.142312,2.326889,3.547826,1.081746,2.269398,1.086285,1.942605,1.897217,0.446315,1.921424,0.524987,0.488677,0.517423,0.520449,10.292477,10.287938,10.375688,10.053433,0.378233,0.375207,0.378233,0.375207,0.37672,0.378233,0.378233,0.378233,0.37672,0.375207,0.375207,0.37672
6,5.27862,5.324008,5.647775,5.501021,1.789799,1.308686,0.443289,1.745924,3.923033,4.069787,3.478231,4.006244,0.505319,0.444802,1.167984,1.095363,2.594678,2.520545,2.417665,2.634015,3.995653,1.352561,2.59014,1.355587,2.201316,2.146851,0.443289,2.175596,0.524987,0.488677,0.517423,0.518936,10.272808,10.259192,10.349968,10.029226,0.378233,0.37672,0.37672,0.375207,0.375207,0.378233,0.37672,0.37672,0.37672,0.375207,0.375207,0.375207
7,5.591797,5.634159,5.897409,5.845969,2.007661,1.485699,0.443289,1.936553,4.240748,4.402632,3.774765,4.340602,0.561298,0.441776,1.311712,1.239091,2.91542,2.830696,2.705122,2.957782,4.435917,1.718691,2.956269,1.705074,2.467592,2.411614,0.441776,2.453976,0.524987,0.488677,0.51591,0.518936,10.231959,10.207752,10.310632,9.997455,0.375207,0.378233,0.37672,0.375207,0.373694,0.378233,0.375207,0.378233,0.37672,0.37672,0.373694,0.37672
8,5.930694,6.007853,6.125862,6.224202,2.231575,1.686919,0.441776,2.127182,4.51005,4.702193,4.050119,4.64924,0.63997,0.441776,1.48116,1.40854,3.243726,3.166567,2.994092,3.289114,4.861051,2.193751,3.382916,2.146851,2.741433,2.685454,0.443289,2.762614,0.523474,0.49019,0.51591,0.517423,10.188084,10.174468,10.269783,9.958119,0.378233,0.378233,0.37672,0.375207,0.375207,0.378233,0.37672,0.37672,0.37672,0.37672,0.37672,0.37672
9,6.311952,6.420883,6.349776,6.61,2.46154,1.89873,0.441776,2.322351,4.730938,4.985111,4.319421,4.932158,0.75344,0.441776,1.664225,1.593117,3.578084,3.506976,3.284575,3.614395,5.258952,2.767153,3.854951,2.685454,3.012248,2.971398,0.440263,3.072765,0.523474,0.487164,0.514397,0.517423,10.166903,10.148748,10.236498,9.933912,0.378233,0.37672,0.37672,0.373694,0.37672,0.37672,0.378233,0.37672,0.37672,0.373694,0.373694,0.37672
10,6.684134,6.835427,6.53284,7.001849,2.700584,2.106001,0.440263,2.514493,4.936697,5.237771,4.578132,5.184818,0.895656,0.441776,1.844264,1.762566,3.90639,3.842847,3.569007,3.92152,5.608439,3.382916,4.331524,3.258856,3.267933,3.246752,0.441776,3.390481,0.520449,0.488677,0.51591,0.514397,10.123028,10.104873,10.194136,9.899114,0.379746,0.37672,0.37672,0.373694,0.37672,0.378233,0.37672,0.37672,0.375207,0.375207,0.373694,0.37672
