Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,3.867952,0.473037,0.46239,0.768115,0.445659,2.70133,1.098176,0.37265,0.371129,0.371129,0.371129,0.371129,0.37265,0.37265,0.374171,0.371129,3.048123,1.087529,2.188747,2.603985,3.496823,3.889246,0.713358,3.978986,1.930173,0.529315,2.483825,1.600112,0.518668,0.44718,0.527794,0.529315,10.256233,8.584633,10.358141,11.453275,0.380255,0.377213,0.378734,0.375692,0.378734,0.377213,0.378734,0.374171,0.380255,0.375692,0.377213,0.375692
2,4.287753,0.471516,0.456306,0.93999,0.533878,3.352327,1.396296,0.37265,0.37265,0.37265,0.371129,0.37265,0.371129,0.374171,0.37265,0.37265,3.629152,1.355228,2.649616,3.159157,3.992676,4.439855,0.92478,4.509822,2.415379,0.666206,3.054207,1.989493,0.52171,0.450222,0.530836,0.530836,10.355099,8.665247,10.455487,11.577999,0.378734,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.375692,0.378734,0.378734,0.377213,0.377213
3,4.58131,0.465432,0.451743,1.116428,0.673812,3.942482,1.670079,0.371129,0.37265,0.37265,0.371129,0.37265,0.37265,0.37265,0.374171,0.371129,4.048953,1.586423,2.988803,3.582,4.325779,4.801858,1.14837,4.882472,2.854953,0.80614,3.580479,2.314991,0.52171,0.450222,0.532357,0.532357,10.374873,8.677415,10.481344,11.599293,0.378734,0.378734,0.378734,0.375692,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.378734,0.377213
4,4.845967,0.463911,0.448701,1.330892,0.822871,4.455066,1.937779,0.37265,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.374171,0.371129,4.392704,1.832828,3.273234,3.940961,4.61021,5.110625,1.408464,5.215575,3.258023,0.968889,4.017012,2.613111,0.52171,0.450222,0.530836,0.532357,10.390083,8.680457,10.484386,11.620587,0.378734,0.377213,0.378734,0.375692,0.377213,0.380255,0.377213,0.375692,0.377213,0.378734,0.377213,0.378734
5,5.13344,0.460869,0.739215,1.613801,1.022125,4.903766,2.240461,0.371129,0.371129,0.371129,0.371129,0.37265,0.37265,0.374171,0.374171,0.37265,4.707555,2.147679,3.550059,4.260375,4.915934,5.425476,1.76134,5.550199,3.62611,1.172706,4.362283,2.897542,0.52171,0.450222,0.532357,0.532357,10.406814,8.681978,10.487428,11.628193,0.380255,0.377213,0.377213,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
6,5.454375,0.459348,0.967368,2.007745,1.295908,5.285542,2.642011,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.374171,0.37265,0.37265,5.011759,2.575086,3.846658,4.567621,5.279458,5.772268,2.251109,5.918286,3.978986,1.443447,4.654319,3.195662,0.523231,0.448701,0.532357,0.530836,10.41594,8.677415,10.481344,11.637319,0.378734,0.378734,0.378734,0.375692,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213
7,5.831588,0.457827,1.221379,2.514245,1.668558,5.618645,3.156115,0.371129,0.371129,0.37265,0.37265,0.371129,0.37265,0.37265,0.374171,0.371129,5.331173,3.16372,4.191929,4.893119,5.734243,6.185986,2.87929,6.34265,4.307527,1.796324,4.896161,3.527244,0.523231,0.450222,0.532357,0.532357,10.411377,8.677415,10.484386,11.637319,0.380255,0.378734,0.377213,0.375692,0.375692,0.380255,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
8,6.213364,0.678375,1.606196,3.134821,2.158326,5.918286,3.734102,0.371129,0.369608,0.371129,0.371129,0.371129,0.37265,0.37265,0.374171,0.37265,5.658192,3.843616,4.588915,5.245996,6.249868,6.649896,3.621547,6.773099,4.613252,2.237419,5.106062,3.901415,0.523231,0.451743,0.533878,0.533878,10.429629,8.686541,10.493512,11.646445,0.378734,0.377213,0.377213,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213,0.375692,0.377213,0.377213
9,6.599703,1.000831,2.162889,3.883162,2.778902,6.190549,4.318174,0.371129,0.371129,0.374171,0.371129,0.371129,0.37265,0.37265,0.374171,0.371129,5.991295,4.526553,5.019364,5.597351,6.792872,7.119891,4.385099,7.226363,4.922018,2.795633,5.300752,4.290795,0.523231,0.451743,0.532357,0.532357,10.437234,8.691104,10.49047,11.660134,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213,0.378734,0.375692,0.377213,0.378734
10,6.970831,1.367396,2.821491,4.67105,3.44663,6.424786,4.855094,0.37265,0.371129,0.371129,0.371129,0.371129,0.371129,0.37265,0.37265,0.37265,6.310709,5.151692,5.428518,5.889387,7.376944,7.576197,5.168424,7.668979,5.229264,3.414688,5.480233,4.695387,0.523231,0.451743,0.532357,0.532357,10.425066,8.691104,10.485907,11.652529,0.378734,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.375692,0.377213,0.377213,0.377213,0.377213
11,7.328271,1.9393,3.607858,5.422434,4.080895,6.651417,5.32661,0.371129,0.37265,0.37265,0.371129,0.371129,0.37265,0.374171,0.37265,0.37265,6.657501,5.671881,5.792042,6.166212,7.856065,7.977746,5.84984,8.041629,5.515216,3.995718,5.652108,5.048263,0.523231,0.451743,0.532357,0.532357,10.432671,8.692625,10.484386,11.629714,0.378734,0.378734,0.378734,0.375692,0.377213,0.377213,0.375692,0.375692,0.377213,0.377213,0.377213,0.377213
12,7.652248,2.654179,4.503738,5.986732,4.634546,6.853713,5.763142,0.37265,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.374171,0.371129,6.967789,6.064304,6.074951,6.365466,8.34127,8.306286,6.455206,8.402111,5.782915,4.46115,5.810294,5.32661,0.523231,0.451743,0.532357,0.533878,10.437234,8.697188,10.491991,11.62363,0.378734,0.378734,0.378734,0.377213,0.377213,0.378734,0.375692,0.377213,0.377213,0.375692,0.377213,0.377213
13,7.910821,3.455756,5.280979,6.389802,5.068036,7.039277,6.077993,0.37265,0.37265,0.37265,0.371129,0.37265,0.37265,0.37265,0.374171,0.371129,7.232447,6.389802,6.324398,6.53582,8.718483,8.599843,6.900865,8.681978,5.991295,4.801858,5.951749,5.583662,0.523231,0.451743,0.532357,0.533878,10.441798,8.70023,10.495033,11.631235,0.378734,0.378734,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213
14,8.11768,4.280148,5.836151,6.654459,5.451333,7.168564,6.322877,0.37265,0.371129,0.371129,0.37265,0.371129,0.371129,0.374171,0.374171,0.371129,7.396717,6.680317,6.456727,6.680317,8.96793,8.802139,7.206589,8.894921,6.166212,5.075641,6.050615,5.767705,0.523231,0.451743,0.530836,0.532357,10.428108,8.691104,10.476781,11.603856,0.378734,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213
15,8.31237,4.972212,6.240742,6.90847,5.693175,7.291767,6.52061,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.374171,0.37265,0.37265,7.509272,6.87957,6.560156,6.762452,9.197604,8.955762,7.445389,9.07288,6.298541,5.2825,6.143397,5.922849,0.523231,0.451743,0.532357,0.533878,10.422024,8.689583,10.476781,11.603856,0.378734,0.377213,0.378734,0.375692,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
16,8.464472,5.439165,6.575366,7.101639,5.903076,7.389112,6.659023,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.37265,0.374171,0.371129,7.591407,7.033193,6.643812,6.835461,9.366437,9.063754,7.621828,9.211293,6.409575,5.433081,6.225532,6.070388,0.523231,0.453264,0.532357,0.532357,10.417461,8.683499,10.469176,11.582562,0.378734,0.377213,0.378734,0.375692,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213
17,8.608969,5.79052,6.820251,7.26743,6.087119,7.478852,6.812645,0.374171,0.37265,0.37265,0.37265,0.37265,0.37265,0.37265,0.374171,0.371129,7.652248,7.121412,6.742679,6.90847,9.483555,9.139805,7.799787,9.316243,6.496273,5.594309,6.300062,6.195112,0.523231,0.450222,0.532357,0.533878,10.414419,8.683499,10.463092,11.587125,0.378734,0.377213,0.378734,0.377213,0.377213,0.378734,0.375692,0.375692,0.377213,0.378734,0.375692,0.377213
18,8.72913,6.085598,6.995168,7.466684,6.251389,7.576197,6.937369,0.37265,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.374171,0.371129,7.710047,7.25222,6.830898,6.979958,9.555043,9.168704,8.002083,9.383168,6.572324,5.746411,6.359382,6.300062,0.523231,0.450222,0.532357,0.53692,10.405293,8.672852,10.453966,11.57952,0.378734,0.377213,0.378734,0.377213,0.377213,0.378734,0.375692,0.377213,0.377213,0.377213,0.375692,0.377213
19,8.832559,6.328961,7.191379,7.705484,6.415659,7.676584,7.052967,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.37265,0.37265,0.371129,7.775451,7.387591,6.90847,7.069698,9.6098,9.196083,8.221109,9.427278,6.649896,5.915244,6.41718,6.398928,0.523231,0.451743,0.532357,0.533878,10.414419,8.680457,10.452445,11.581041,0.378734,0.377213,0.377213,0.375692,0.375692,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
20,8.910131,6.627081,7.358691,7.973183,6.587535,7.790661,7.182253,0.37265,0.371129,0.37265,0.371129,0.371129,0.37265,0.37265,0.374171,0.37265,7.837812,7.530567,6.984521,7.173127,9.649346,9.244755,8.420363,9.462261,6.7153,6.10385,6.479542,6.484105,0.523231,0.450222,0.532357,0.535399,10.409856,8.677415,10.452445,11.576478,0.378734,0.377213,0.377213,0.377213,0.377213,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.375692
21,8.984661,6.989084,7.532088,8.253051,6.780704,7.915384,7.316103,0.37265,0.37265,0.371129,0.371129,0.371129,0.37265,0.37265,0.374171,0.371129,7.903216,7.647685,7.074261,7.276556,9.682809,9.297991,8.589196,9.494202,6.767015,6.284852,6.540383,6.563198,0.52171,0.451743,0.532357,0.535399,10.403772,8.671331,10.450924,11.571915,0.378734,0.378734,0.377213,0.377213,0.377213,0.378734,0.375692,0.377213,0.377213,0.377213,0.375692,0.377213
22,9.068317,7.402801,7.732862,8.528355,6.983,8.024898,7.449953,0.37265,0.37265,0.37265,0.371129,0.37265,0.371129,0.374171,0.37265,0.371129,7.974704,7.757198,7.179211,7.396717,9.734524,9.378605,8.74434,9.547438,6.81873,6.436954,6.59514,6.645333,0.523231,0.451743,0.532357,0.535399,10.399209,8.662205,10.437234,11.561268,0.378734,0.377213,0.377213,0.375692,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.375692,0.377213
23,9.179351,7.769367,7.921469,8.724567,7.145749,8.11768,7.583802,0.37265,0.371129,0.37265,0.369608,0.371129,0.374171,0.37265,0.374171,0.371129,8.032503,7.853023,7.290246,7.532088,9.781675,9.46074,8.847769,9.618926,6.868923,6.549509,6.628602,6.716821,0.523231,0.451743,0.530836,0.535399,10.383999,8.657642,10.422024,11.5491,0.378734,0.377213,0.377213,0.377213,0.375692,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.378734
24,9.308638,8.015772,8.125285,8.899484,7.287203,8.199815,7.720694,0.374171,0.37265,0.371129,0.371129,0.37265,0.371129,0.37265,0.37265,0.371129,8.11768,7.964057,7.425616,7.717652,9.87902,9.573295,8.937509,9.755818,6.949537,6.651417,6.681838,6.777662,0.523231,0.450222,0.530836,0.53692,10.391604,8.660684,10.432671,11.546058,0.378734,0.378734,0.377213,0.375692,0.375692,0.378734,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213
25,9.451614,8.204378,8.335186,9.053107,7.413448,8.268261,7.846939,0.374171,0.37265,0.37265,0.371129,0.371129,0.37265,0.374171,0.37265,0.37265,8.227193,8.090302,7.567071,7.936679,9.993097,9.705624,9.030292,9.904878,7.034714,6.73051,6.724426,6.827856,0.523231,0.450222,0.532357,0.535399,10.387041,8.656121,10.426587,11.552142,0.378734,0.377213,0.377213,0.377213,0.377213,0.378734,0.375692,0.377213,0.377213,0.377213,0.377213,0.377213
26,9.582422,8.376253,8.560297,9.205209,7.557945,8.344312,7.964057,0.37265,0.371129,0.371129,0.371129,0.37265,0.37265,0.37265,0.374171,0.37265,8.379295,8.234799,7.737425,8.146579,10.160409,9.901836,9.212814,10.050896,7.121412,6.780704,6.792872,6.919117,0.523231,0.451743,0.532357,0.535399,10.390083,8.662205,10.429629,11.556705,0.378734,0.377213,0.378734,0.375692,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
27,9.661515,8.511624,8.75955,9.348185,7.713089,8.435573,8.067486,0.37265,0.37265,0.37265,0.371129,0.37265,0.371129,0.374171,0.374171,0.371129,8.555734,8.347354,7.918426,8.280429,10.377915,10.129989,9.485076,10.172577,7.183774,6.814166,6.878049,7.05753,0.523231,0.450222,0.530836,0.533878,10.38552,8.650037,10.418982,11.543015,0.378734,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213
28,9.742129,8.650037,8.929904,9.521581,7.814997,8.551171,8.163311,0.374171,0.37265,0.371129,0.37265,0.37265,0.37265,0.374171,0.37265,0.37265,8.753466,8.455346,8.082697,8.449262,10.577168,10.300343,9.705624,10.285133,7.255262,6.846108,6.961705,7.180732,0.523231,0.451743,0.532357,0.535399,10.379436,8.646995,10.422024,11.547579,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.375692,0.377213,0.378734,0.377213,0.377213,0.377213
29,9.809053,8.872106,9.098737,9.704103,7.892569,8.683499,8.259135,0.374171,0.37265,0.371129,0.37265,0.371129,0.37265,0.37265,0.374171,0.371129,8.926862,8.584633,8.190689,8.575507,10.707976,10.432671,9.883583,10.403772,7.363254,6.914554,7.014941,7.316103,0.523231,0.451743,0.530836,0.535399,10.380957,8.650037,10.422024,11.552142,0.377213,0.378734,0.377213,0.377213,0.377213,0.378734,0.375692,0.377213,0.375692,0.377213,0.377213,0.377213
30,9.868373,9.150452,9.241713,9.897273,7.976225,8.794534,8.339749,0.37265,0.37265,0.37265,0.371129,0.37265,0.37265,0.37265,0.37265,0.371129,9.062233,8.765634,8.324539,8.619616,10.817489,10.560437,9.974845,10.523933,7.452995,7.005815,7.063614,7.424095,0.523231,0.450222,0.530836,0.53692,10.37031,8.643953,10.411377,11.539973,0.377213,0.377213,0.378734,0.375692,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
31,9.929214,9.399899,9.360353,10.037206,8.140495,8.905568,8.456867,0.37265,0.37265,0.371129,0.371129,0.371129,0.37265,0.37265,0.374171,0.371129,9.220419,8.87819,8.449262,8.63939,10.928524,10.697329,10.07219,10.653219,7.487978,7.106202,7.115328,7.484936,0.523231,0.450222,0.532357,0.535399,10.376394,8.646995,10.411377,11.541494,0.378734,0.378734,0.377213,0.377213,0.375692,0.378734,0.375692,0.375692,0.378734,0.377213,0.377213,0.377213
32,9.968761,9.515497,9.419673,10.10261,8.28195,8.984661,8.583112,0.37265,0.37265,0.37265,0.371129,0.37265,0.37265,0.374171,0.37265,0.371129,9.367958,8.958804,8.523792,8.622658,11.013701,10.796195,10.201476,10.749043,7.530567,7.253741,7.139665,7.501667,0.523231,0.451743,0.530836,0.535399,10.371831,8.643953,10.411377,11.547579,0.378734,0.377213,0.377213,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
33,10.006786,9.552001,9.465303,10.13151,8.3869,9.033334,8.718483,0.37265,0.37265,0.371129,0.371129,0.37265,0.37265,0.37265,0.374171,0.371129,9.457698,9.068317,8.560297,8.613532,11.077584,10.872246,10.352057,10.814447,7.574676,7.395196,7.141186,7.500146,0.523231,0.451743,0.530836,0.533878,10.364226,8.636348,10.403772,11.544537,0.377213,0.377213,0.377213,0.377213,0.377213,0.378734,0.377213,0.377213,0.377213,0.377213,0.377213,0.377213
