Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,4.659965,0.655802,0.440217,0.423633,0.422126,0.431171,0.435694,0.459815,0.667863,3.865464,0.432679,2.954879,0.65731,0.411572,0.435694,0.416095,0.440217,4.338848,0.435694,3.734304,0.434186,0.425141,0.664848,0.453785,4.652427,0.459815,4.667503,4.592123,0.518611,0.503536,0.502028,0.562332,10.254636,8.923433,10.045081,7.896764,0.376898,0.378405,0.376898,0.37539,0.376898,0.376898,0.378405,0.378405,0.376898,0.37539,0.373883,0.376898
2,5.259986,0.82013,0.438709,0.420618,0.417603,0.432679,0.434186,0.453785,0.83219,4.46247,0.426648,3.512688,0.799023,0.411572,0.429664,0.416095,0.438709,4.883088,0.434186,4.191104,0.434186,0.423633,0.82616,0.449262,5.121288,0.4568,5.177069,5.092644,0.523134,0.50052,0.503536,0.562332,10.313433,8.985245,10.100862,7.922393,0.37539,0.378405,0.373883,0.376898,0.37539,0.378405,0.373883,0.373883,0.376898,0.376898,0.378405,0.37539
3,5.700203,1.053806,0.434186,0.633188,0.687462,0.426648,0.432679,0.453785,1.043253,4.86952,0.426648,3.891093,1.002548,0.40705,0.423633,0.416095,0.437201,5.219281,0.431171,4.457948,0.432679,0.41911,1.043253,0.447755,5.40773,0.453785,5.474064,5.383609,0.523134,0.497505,0.506551,0.557809,10.301372,8.989767,10.096339,7.911839,0.376898,0.37539,0.378405,0.373883,0.378405,0.378405,0.37539,0.37539,0.378405,0.37539,0.37539,0.37539
4,6.066548,1.418643,0.432679,0.817115,0.880433,0.423633,0.431171,0.449262,1.341756,5.152947,0.425141,4.16246,1.32668,0.40705,0.422126,0.414588,0.434186,5.448435,0.428156,4.670518,0.428156,0.416095,1.36437,0.444739,5.624823,0.453785,5.633869,5.540398,0.520119,0.50052,0.505043,0.559316,10.280266,8.970169,10.082771,7.887718,0.376898,0.37539,0.376898,0.372375,0.37539,0.376898,0.37539,0.376898,0.37539,0.376898,0.37539,0.376898
5,6.398218,1.93424,0.432679,1.065867,1.177429,0.422126,0.429664,0.449262,1.753329,5.350442,0.646757,4.385583,1.784988,0.40705,0.458308,0.41308,0.429664,5.626331,0.428156,4.905702,0.426648,0.416095,1.806094,0.441724,5.802719,0.452277,5.752969,5.661006,0.523134,0.499013,0.502028,0.560824,10.284788,8.979214,10.078248,7.883195,0.378405,0.37539,0.376898,0.376898,0.37539,0.378405,0.37539,0.376898,0.373883,0.376898,0.37539,0.376898
6,6.725365,2.535769,0.431171,1.501561,1.64629,0.423633,0.426648,0.45077,2.241788,5.486125,0.895509,4.554434,2.317168,0.405542,0.856312,0.732689,0.429664,5.749953,0.713091,5.118273,0.428156,0.416095,2.3036,0.443232,5.936895,0.449262,5.825333,5.742416,0.521627,0.497505,0.503536,0.560824,10.254636,8.953585,10.05865,7.869627,0.378405,0.373883,0.37539,0.37539,0.376898,0.376898,0.37539,0.376898,0.373883,0.376898,0.372375,0.37539
7,7.026883,3.193079,0.428156,2.214652,2.247819,0.423633,0.425141,0.446247,2.808643,5.61427,1.325173,4.70067,2.80412,0.408557,1.273915,1.020639,0.425141,5.870561,1.017624,5.31426,0.422126,0.768872,2.849348,0.437201,6.022827,0.449262,5.90222,5.832871,0.523134,0.497505,0.503536,0.560824,10.248606,8.946047,10.055634,7.878672,0.376898,0.376898,0.37539,0.373883,0.37539,0.376898,0.37539,0.378405,0.37539,0.378405,0.372375,0.376898
8,7.290712,3.851896,0.429664,2.908144,2.8795,0.422126,0.426648,0.444739,3.50515,5.737893,1.982483,4.846906,3.236799,0.40705,1.950823,1.56488,0.426648,5.982123,1.576941,5.475572,0.423633,1.115618,3.377005,0.799023,6.092177,0.45077,5.985138,5.929357,0.521627,0.497505,0.505043,0.560824,10.2275,8.932479,10.031513,7.860581,0.376898,0.37539,0.376898,0.373883,0.37539,0.376898,0.37539,0.376898,0.37539,0.37539,0.37539,0.37539
9,7.476146,4.466993,0.428156,3.563946,3.46746,0.420618,0.426648,0.444739,4.072004,5.856992,2.571951,4.941884,3.610681,0.404034,2.704619,2.273448,0.428156,6.092177,2.329229,5.597687,0.423633,1.780465,3.794607,1.198535,6.158511,0.45077,6.05901,6.009259,0.521627,0.495998,0.502028,0.560824,10.19584,8.903835,9.998346,7.843998,0.37539,0.37539,0.37539,0.373883,0.373883,0.378405,0.37539,0.37539,0.37539,0.37539,0.37539,0.37539
10,7.604291,5.02631,0.428156,4.127785,3.990594,0.651279,0.426648,0.444739,4.409705,5.932372,3.045335,5.011234,3.954412,0.405542,3.324239,2.918697,0.817115,6.153988,3.000107,5.68965,0.423633,2.475465,4.195627,1.953838,6.205246,0.45077,6.123836,6.075593,0.521627,0.495998,0.502028,0.560824,10.182272,8.887251,9.987793,7.833445,0.376898,0.376898,0.378405,0.37539,0.373883,0.376898,0.37539,0.37539,0.37539,0.37539,0.37539,0.373883
11,7.71736,5.466526,0.428156,4.583078,4.338848,1.115618,0.425141,0.443232,4.703685,5.982123,3.484044,5.077568,4.258946,0.405542,3.907677,3.491582,1.426181,6.211276,3.530779,5.77709,0.422126,3.030259,4.460963,2.694066,6.241428,0.449262,6.176602,6.14645,0.521627,0.495998,0.502028,0.562332,10.191318,8.893281,9.980255,7.828922,0.376898,0.37539,0.37539,0.373883,0.37539,0.376898,0.37539,0.37539,0.376898,0.37539,0.37539,0.373883
12,7.818369,5.730355,0.426648,4.908717,4.682579,2.069923,0.426648,0.443232,4.916255,6.012274,3.882048,5.134856,4.488099,0.405542,4.378045,3.95592,2.498079,6.236905,3.939336,5.832871,0.422126,3.447861,4.646397,3.21117,6.270072,0.449262,6.211276,6.197708,0.518611,0.492982,0.50052,0.560824,10.158151,8.87519,9.960656,7.816861,0.373883,0.37539,0.37539,0.373883,0.37539,0.376898,0.373883,0.376898,0.376898,0.37539,0.373883,0.37539
13,7.931438,5.947448,0.426648,5.11978,5.003696,3.181018,0.425141,0.441724,5.079075,6.037903,4.20015,5.192145,4.685594,0.618112,4.748913,4.286082,3.345345,6.285148,4.263468,5.894682,0.423633,3.812699,4.824292,3.576007,6.298717,0.449262,6.262535,6.230875,0.521627,0.495998,0.502028,0.562332,10.14006,8.858607,9.938042,7.801785,0.37539,0.376898,0.376898,0.37539,0.373883,0.376898,0.373883,0.37539,0.37539,0.37539,0.373883,0.373883
14,8.038477,6.15248,0.426648,5.256971,5.219281,4.064466,0.425141,0.441724,5.249433,6.081624,4.424781,5.252448,4.923793,1.112602,4.999173,4.546896,4.041852,6.360528,4.507698,5.959509,0.422126,4.1308,4.973544,3.854911,6.333391,0.447755,6.318315,6.279118,0.520119,0.49449,0.502028,0.562332,10.138552,8.854084,9.936535,7.801785,0.37539,0.37539,0.37539,0.37539,0.373883,0.376898,0.373883,0.37539,0.37539,0.373883,0.373883,0.37539
15,8.110842,6.300224,0.426648,5.377578,5.371548,4.730822,0.426648,0.441724,5.391147,6.120821,4.589108,5.285615,5.183099,1.964392,5.161993,4.75042,4.577047,6.405756,4.66901,6.01529,0.422126,4.369,5.11978,4.103664,6.356005,0.447755,6.371081,6.324346,0.521627,0.495998,0.502028,0.563839,10.129506,8.842023,9.918444,7.785202,0.37539,0.37539,0.376898,0.37539,0.373883,0.376898,0.37539,0.37539,0.37539,0.373883,0.373883,0.37539
